,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hobart,20,AU,1614827142,24,-42.8794,147.3294,71.6,25.32
1,esperance,90,AU,1614827291,88,-33.8667,121.9,66.2,13.8
2,rikitea,74,PF,1614826823,78,-23.1203,-134.9692,80.64,7.05
3,shelburne,97,CA,1614827293,89,44.0787,-80.2041,33.01,7.83
4,port elizabeth,75,ZA,1614826732,88,-33.918,25.5701,68.0,9.22
5,iskateley,99,RU,1614827295,95,67.6803,53.1512,6.87,11.43
6,ushuaia,0,AR,1614826610,66,-54.8,-68.3,50.0,3.44
7,atuona,56,PF,1614826885,72,-9.8,-139.0333,80.06,8.5
8,kapaa,40,US,1614826615,68,22.0752,-159.319,73.4,19.57
9,bolitoc,0,PH,1614827300,61,15.7395,119.8769,86.34,4.18
10,yuancheng,99,CN,1614827301,51,36.652,107.7896,48.29,7.43
11,kimbe,100,PG,1614827302,89,-5.5502,150.1429,79.41,13.82
12,fare,100,PF,1614827304,74,-16.7,-151.0167,82.87,9.06
13,poum,100,NC,1614827305,83,-20.2333,164.0167,77.52,15.17
14,myshkin,100,RU,1614827306,88,57.7897,38.4545,31.59,13.31
15,coihaique,20,CL,1614827307,76,-45.5752,-72.0662,55.4,4.61
16,petropavlovsk-kamchatskiy,75,RU,1614827036,53,53.0452,158.6483,15.8,15.66
17,srednekolymsk,100,RU,1614827310,86,67.45,153.6833,-22.09,17.87
18,byumba,40,RW,1614827312,94,-1.5763,30.0675,62.6,3.44
19,torit,100,SS,1614827314,27,4.4133,32.5678,79.7,1.23
20,twentynine palms,90,US,1614827315,50,34.1356,-116.0542,51.8,8.05
21,nantucket,5,US,1614827316,77,41.2835,-70.0995,36.0,12.91
22,shimoda,75,JP,1614827317,66,34.6667,138.95,53.6,13.8
23,puerto ayora,64,EC,1614826887,95,-0.7393,-90.3518,78.01,3.27
24,butaritari,33,KI,1614827322,82,3.0707,172.7902,81.28,17.78
25,labuhan,100,ID,1614827323,70,-6.8844,112.2051,84.09,5.17
26,punta arenas,0,CL,1614826900,71,-53.15,-70.9167,50.0,12.66
27,malartic,90,CA,1614827326,73,48.1335,-78.1328,14.0,16.11
28,busselton,42,AU,1614826825,72,-33.65,115.3333,75.96,11.88
29,marechal candido rondon,7,BR,1614827329,94,-24.5561,-54.0567,70.61,8.1
30,sitka,90,US,1614827330,81,57.0531,-135.33,39.2,5.75
31,castro,100,BR,1614827114,95,-24.7911,-50.0119,63.16,3.71
